net,length_um
count.reset,3598.28
net56,1786.68
net246,1568.74
net218,1553.44
net229,1548.08
net221,1513.74
net226,1513.3
net224,1510.48
net228,1510.1
net225,1507.76
net219,1507.24
net247,1507.06
net222,1506.9
net232,1506.74
net227,1505.82
net220,1505.78
net233,1505.58
net223,1504.78
net230,1502.6
net231,1501.86
net238,1501.04
net243,1500.68
net236,1500.34
net244,1500
net239,1499.84
net241,1499.77
net242,1499.66
net234,1499.56
net235,1498.42
net240,1498.24
net237,1498.06
net245,1498.02
net248,1443.5
net217,1307.22
net215,1018.24
net216,874.42
net1275,831.98
net57,819.12
net138,809.95
net137,755.08
net139,751.66
net136,745.21
net135,697.68
net66,678.1
net875,662.44
net149,656.17
net134,655.64
net20,633.92
net851,630.59
net148,620.985
net866,616.46
net939,602.28
net162,601.36
net140,600.96
net161,590.54
net861,590.18
net54,584.76
net830,583.4
net897,582.43
net150,555.1
net53,553.74
net160,552.9
net752,551.98
net52,546.24
net841,520.62
net33,518.34
net213,514.58
net44,508.34
net50,507.7
net55,504.8
net58,502.04
net59,500.28
net676,492.84
net159,490.78
net60,490.56
net51,490.46
net979,490.18
net944,489.92
net147,489.75
net35,485.82
net61,482.96
net974,482.82
net963,479.58
net151,478.68
net49,478.5
net1,475.38
net62,470.8
net48,469.72
net957,468.64
net687,466.14
clknet_0_count.clk,464.85
net12,462.94
net63,462
net461,462
net922,460.04
net918,458.84
net622,455.24
net47,454.88
net696,454.7
net158,452
net42,450.34
net952,449.16
net23,448.48
net41,446.68
count.clk,446.08
net836,444.12
net846,444.1
net64,443.3
net625,442.74
net991,442.56
net927,441.28
net46,440.7
net892,438.83
net1340,438.18
net152,436.26
net985,435.2
net968,434.92
net34,432.6
net39,428.14
net26,427.88
net45,427.12
net36,427.06
net43,423.9
net37,423.88
net141,423.78
net38,422.96
net628,422.82
net40,420.26
net631,418.72
_091_,418.14
net856,415.32
net202,413.795
net27,412.9
net209,397.56
net9,397.34
net28,397.1
net3,395.535
net710,394.66
net658,391.62
net153,390.38
net157,390.32
net640,389.98
net462,385.275
net871,380.04
net1197,378.775
net740,378.58
net29,378.56
net10,375.06
net826,370.4
net907,369.72
net30,365.86
net156,365.32
net31,364.4
net888,356.36
net700,356.2
net6,354.22
net5,353.1
net32,350.58
net11,350.46
net684,350.28
net681,349.68
net662,348.78
net885,348.6
net2,348.12
net7,347.8
net8,347.52
net459,345.78
net707,345
net703,344.68
net4,344.24
net259,343.135
net197,342.2
net734,341.38
net13,338.32
net1249,336
net1006,331.135
net722,330.46
net146,329.74
net14,328.2
net1110,319.34
net195,316.515
net154,313.02
net716,309.88
net646,309.78
net101,309.66
net22,309.2
net746,309.04
net17,308.86
net21,308.08
net15,307.68
net634,306.82
net201,304.69
net16,303.14
net18,298.96
net692,298.86
net643,297.48
net912,296.98
net728,294.72
net19,293.48
net1242,280.8
net456,276.06
_129_,275.9
net196,275.16
net1033,269.77
net155,267.43
net144,266.48
net463,265.51
net933,264.33
net133,263.96
net997,260.34
net142,258.88
net1132,258.58
clknet_3_6_0_count.clk,256.82
net1106,246.72
net672,242.04
net1372,241.64
net207,237.22
net208,227.68
net466,224.36
net464,221.15
clknet_3_0_0_count.clk,203.7
net1026,199.38
net145,197.16
_156_,196.42
_279_,195.86
net530,193.68
clknet_3_2_0_count.clk,192.29
net212,190.135
net254,187.35
net194,185.625
net881,180.22
_223_,178.12
net1245,177.29
net1258,176.7
net454,173.58
net250,171.06
_030_,170.6
net258,168.86
clknet_3_3_0_count.clk,163.98
net210,163.4
net1246,160.52
_090_,155.88
clknet_3_5_0_count.clk,153.28
net251,150.62
net1262,149.18
net833,149.12
net1051,145.155
_212_,144.08
net653,144.07
net427,142.02
net1253,137.4
net88,135.58
_214_,133.76
_211_,133
net261,132.07
net882,132.06
net260,131.74
net87,128.62
net817,128.56
net903,126.39
clknet_3_7_0_count.clk,124.96
net414,122.4
net423,122.38
net85,122.2
net804,120.4
net654,119.56
net808,119.48
net815,118.82
net206,118.26
net25,117.52
net86,115.3
net526,114.88
net446,113.68
net820,113.46
net200,113.3
net252,113.26
net204,110.2
clknet_3_4_0_count.clk,109.92
net735,106.7
clknet_3_1_0_count.clk,102.54
net199,102.48
net663,100.8
net452,99.24
net65,98.9
net832,97.74
net747,96.26
net198,95.13
net723,92.84
net441,92.36
net1261,91.335
net84,89.74
_155_,89.3
net900,89.115
_263_,88.78
net717,87.9
_107_,85.52
net899,85.22
net256,84.38
_184_,83.88
net205,80.06
wb_clk_i,79.38
_166_,78.82
net1394,78.6
net668,75.46
_105_,74.72
net143,74.69
net203,72.96
net741,70.92
_236_,69.74
net1113,69.72
net81,67.74
net994,66.56
net819,65.58
net831,65.55
net798,64.72
net24,64.5
net818,64.44
net934,64.26
net83,64.16
net1273,63.52
net814,62.52
net1270,61.22
net400,60.92
net1268,60.18
_088_,60.04
net1264,59.78
net1271,58.88
net711,57.82
net419,57.7
net1235,55.25
_171_,54.94
net839,54.76
net82,54.1
net405,53.9
net982,53.18
net669,52.84
net796,52.72
net436,52.64
net1272,50.76
net849,50.7
net971,50.7
net895,50.24
net929,50.24
net685,49.32
net704,49.32
net848,49.2
net890,48.32
_248_,48.3
net987,47.98
net981,47.94
net993,47.94
net988,47.4
net1107,47.2
_256_,47.08
net682,46.94
net886,46.94
net894,46.6
net889,46.14
net708,45.56
net729,45.56
net838,45.22
net1431,44.8
net954,44.68
net693,44.22
net701,43.3
net255,42.5
net698,42.5
net977,42.3
net766,41.16
_093_,41.08
net409,40.56
net946,40.24
net844,39.92
net619,39.78
_270_,39.3
_253_,39.205
net1424,37.92
_277_,37.86
net678,37.56
